is_rumor,is_source_tweet,text
FALSE,FALSE,"tobiebh J'aurais du aussi faire une distinction entre votre radio et votre Facebook, mon propos aurait sªrement sembler moins agressif /"
FALSE,FALSE,"RenkoQC T'inqui®te, dans la vie j'aime beaucoup argumenter. C'est jamais de la chicane mais plut¥t de la simple opposition de points de"
FALSE,TRUE,Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http//t.co/mskjnJAlvE
FALSE,FALSE,CBCOttawa CBCNews how horrible!!!
FALSE,FALSE,CBCOttawa CBCNews What a unclassy photo. It could be your mom. booo Show some discretion.
FALSE,FALSE,LisaRachel CBCOttawa CBCNews how horrible!!!ù Shit..!!
FALSE,FALSE,CBCOttawa http//t.co/OSehwkVhvx
FALSE,FALSE,CBCOttawa CBCNews shooting is horrible
FALSE,FALSE,CBCOttawa Did anybody manage to nail the shooter?
FALSE,FALSE,CBCOttawa CBCNews Please contact CJAD Amanda Kline  
FALSE,FALSE,.Marcusl CBCOttawa CBCNews Scary!!
FALSE,FALSE,CBCOttawa CBCNews .... Terrible news to hear of a solider injured on Canadian soil  thoughts and prayers
FALSE,FALSE,CBCOttawaPassersby working on#shooting#victim From CBC's Jason Ho#cbcOTT #OTTnews http//t.co/rNpeAsiFù #Ontario #Canada #veteran #pray
FALSE,FALSE,CBCOttawa Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http//t.co/QlRBFyCDù KayBurley
FALSE,FALSE,CBCOttawa
FALSE,FALSE,CBCOttawa
FALSE,FALSE,CBCOttawa God save the soldier!
FALSE,FALSE,CBCOttawa very sad. Makes me wonder where this world is coming to. Prayers to all involved.
FALSE,TRUE,Shooting at the war memorial in Ottawa. http//t.co/ZpMjVw
FALSE,FALSE,.IvisonJ Is this a different one from the shooting at the Centre Block?
FALSE,FALSE,"IvisonJ shanedingman Quit posting photos that don't need to show. Use your head, not sensationalism in the name of privacy."
FALSE,FALSE,IvisonJ PoliticoVoice Arrest Islamists BEFORE they murder more Canadians.  Change the immigration policies that let them into the country!
FALSE,FALSE,IvisonJ MartinLahaie Is the man OK?  
FALSE,FALSE,"IvisonJ This is a time of war, this is no joke.  Get real and fight for yourselves!  If you don't, no one else will!"
FALSE,FALSE,IvisonJ nationalpost Please contact CJAD Amanda Kline  
FALSE,FALSE,"ivoiriencom IvisonJ PoliticoVoice For the Canadian ones, give them back their passports and send them to Middle East forever."
FALSE,FALSE,PinkPanther IvisonJ what I read no. Could be shot to death...
FALSE,FALSE,MartinLahaie IvisonJ Il en aurait tir  maintenant et serait au large...
FALSE,FALSE,IvisonJ nationalpost hope they recover
FALSE,FALSE,"IvisonJ Hello I work at a London newspaper, The Independent independent  can we use this image please?"
FALSE,FALSE,"IvisonJ Hi John, could we use your pictures in the Independent online please?"
FALSE,FALSE,.IvisonJ captainjuggy SHOOTING at the WAR MEMORIAL in Ottawa... Not the best words to use in this case... p
FALSE,FALSE,"IvisonJ John, Did you shoot this? Can The Canadian Press use this image? Please contact us "
FALSE,FALSE,"IvisonJ nationalpost very sad, another victim of #PTSD ? rcmpgrcpolice CanadianArmy VeteransENGCA need to do more"
FALSE,FALSE,"x raden wie daar nu is ""IvisonJ Shooting at the war memorial in Ottawa. http//t.co/WKXOoDiPk"""
FALSE,FALSE,IvisonJ Did you take this photo? Would the New York Daily News be able to use it with credit?
FALSE,FALSE,ivoiriencom IvisonJ PoliticoVoice Let us not forget we believe in the rule of law. Innocent until proven guilty.
FALSE,FALSE,"tuga IvisonJ PoliticoVoice In EVERY war, traitors are HANGED by the neck until dead. Don't be an idiot. http//t.co/NUdEXxrTY"
FALSE,FALSE,ivoiriencom IvisonJ PoliticoVoice I'm an idiot because I believe the founding principles of this nation like law and order and the BoR
FALSE,FALSE,"tuga IvisonJ PoliticoVoice You're an idiot because you don't understand that traitors must always be hanged, in every war."
FALSE,FALSE,ivoiriencom IvisonJ PoliticoVoice is that why you want preemptively arrest all islamists? Do you belive they are all traitors?
FALSE,TRUE,After today we will officially be done shooting for the #SurrenderMusicVideo !! It's looking AMAZING so far btw! #cantwait
FALSE,FALSE,ILY ùÔ∏èôäjuliancamarena
FALSE,FALSE,ShirleeEngel PeterMeiszner Notice the guy in the back who's just tweeting? I'd be freaking the eff out!
FALSE,FALSE,ShirleeEngel Canine unit running to Parliament Hill http//t.co/nuFzgVnù not in Canada!  What's going on???
FALSE,FALSE,Shooting outside of war memorial in Ottawa the scene RT ShirleeEngel Canine unit running to Parliament Hill http//t.co/KGCsPaUQE
FALSE,FALSE,"While random man in suit updates twitter? ""ShirleeEngel Canine unit running to Parliament Hill http//t.co/jGLXRIqyù"
FALSE,FALSE,ShirleeEngel AnthonyFarnell I doubt posting officers approach is safe for them.
FALSE,FALSE,Beautiful shepherd. Looks like a clone of my dog. ShirleeEngel
FALSE,FALSE,ShirleeEngel you got the best tweets
FALSE,TRUE,"Parliament shooting a very active situation still at the moment. They are searching the building, presumably for a suspect or suspects."
FALSE,FALSE,joshwingrove Stay safe!
FALSE,FALSE,Stay safe Josh! Scary scene... RT joshwingrove Parliament shooting a very active situation at the moment. They are searching the building
FALSE,FALSE,joshwingrove thanks for tweeting the awful news.Very sad to hear that our beautiful country is being targeted.
FALSE,FALSE,joshwingrove so they didn't get the guy?
FALSE,FALSE,joshwingrove what of the library shooting? Anymore information there? Awful situation
FALSE,FALSE,"joshwingrove Parliament shooting a very active situation still at the moment. Searching building, presumably for a suspect or suspects.ù"
FALSE,FALSE,MT joshwingrove Canadian Parliament shooting a very active situation still at the moment. wdet
FALSE,FALSE,RT JMacDonaldPC .pmharper is safe and has left Parliament Hill.ù
FALSE,FALSE,JMacDonaldPC pdonelson pmharper  What is happening pdonelson! This is freaking crazy!!!
FALSE,FALSE,RT JMacDonaldPC .pmharper is safe and has left Parliament Hill.
FALSE,FALSE,From Harper's director of comms RT JMacDonaldPC .pmharper is safe and has left Parliament Hill.
FALSE,FALSE,Cool JMacDonaldPC AGMacDougall pmharper the fuck is wrong with you? Go to hell
FALSE,FALSE,JMacDonaldPC NO OFFENCE BUT THIS IS HOW WE FIND OUT HOW OUR LEADER IS RE THE STATUS OF pmharper
FALSE,FALSE,Active gunman at Parliament JMacDonaldPC .pmharper is safe and has left Parliament Hill.ù cnnbrk
FALSE,FALSE,"mikelecouteur GlobalNational JMacDonaldPC pmharper So, our ""fearless leader"" is running like a scared rabbit?"
FALSE,FALSE,JMacDonaldPC CochraneCBCNL pmharper Blame this on numbnuts Harper. He's  well protected but not public. IDIOT
FALSE,FALSE,AGMacDougall nspector Cool JMacDonaldPC pmharper seriously? I'm no fan but this is NOT the time. #scaredshitless
FALSE,FALSE,Update RT JMacDonaldPC .pmharper is safe and has left Parliament Hill.
FALSE,FALSE,PM spokesperson JMacDonaldPC .pmharper is safe and has left Parliament Hill.ù
FALSE,FALSE,"mikelecouteur GlobalNational JMacDonaldPC pmharper As Kinsella, at Sun Views put it ""From a crisis emerges a leader""."
FALSE,FALSE,JMacDonaldPC reporterchris pmharper Thats unfortunate. Harper is a cunt.
FALSE,FALSE,DAMNIT! Tant qu'† y avoir des coups de feu. #NotFunnyJoke JMacDonaldPC .pmharper is safe and has left Parliament Hill.ù
FALSE,FALSE,mikelecouteur From Harper's director of comms RT JMacDonaldPC .pmharper is safe and has left Parliament Hill.ù
FALSE,FALSE,Cool Jerk! JMacDonaldPC AGMacDougall pmharper
FALSE,FALSE,jgordonyoung This is the diff between someone intelligent and someone stupid. AGMacDougall nspector Cool JMacDonaldPC pmharper
FALSE,FALSE,"gipel jgordonyoung AGMacDougall nspector Cool JMacDonaldPC lucky for clowns like this, the Internet doesn't require an IQ test"
FALSE,FALSE,wastedsundays And the  Twitts who favorited his comment jgordonyoung AGMacDougall nspector Cool JMacDonaldPC
FALSE,FALSE,AGMacDougall Cool JMacDonaldPC pmharper So we're not allowed laugh anymore? #getagrip
FALSE,FALSE,".GYFHAS mikelecouteur GlobalNational JMacDonaldPC pmharper ummm yeah, okay.... http//t.co/rDUfgNsZ"
FALSE,FALSE,.sendFD &lt MARRY ME?  ôôô JMacDonaldPC reporterchris pmharper
FALSE,FALSE,NadineLumley Would be a honor.
FALSE,FALSE,sendFD NadineLumley JMacDonaldPC reporterchris pmharper Actually he is more a closet fascist.
FALSE,FALSE,NadineLumley mikelecouteur GlobalNational JMacDonaldPC pmharper You may've misunderstood. Not suggesting PMH would emerge a leader.
FALSE,FALSE,NadineLumley mikelecouteur GlobalNational JMacDonaldPC pmharper Odds are better on him coming out of closet.
FALSE,TRUE,A reminder for those observing the shooting on Parliament Hill DO NOT tweet police locations and movements #ottcity #ottawa
FALSE,FALSE,DanielDickin JustAnOttawaDad You mean like all the journalists?
FALSE,FALSE,DanielDickin A reminder for those observing the shooting on Parliament Hill DO NOT tweet police locations and movements #ottcity #ottawa
FALSE,FALSE,DanielDickin thank you #meaculpa
FALSE,TRUE,"BREAKING Injury reported after shooting at Canadaôs War Memorial, near countryôs Parliament, police say. http//t.co/klmHnmsE"
FALSE,FALSE,cnni http//t.co/ASqUYCC
FALSE,FALSE,"cnni BREAKING Injury reported after shooting at Canadaôs War Memorial, near countryôs Parliament. http//t.co/lsgxMSHFFù#MCJFL"
FALSE,FALSE,cnni
FALSE,TRUE,"Spokesperson for PMO says Prime Minister Stephen Harper safe, has left Parliament Hill. #cdnpoli"
FALSE,FALSE,CBCAlerts PRIME MINISTER IS NOW SAFE
FALSE,FALSE,CBCAlerts should've taken Harper instead fucking fascist
FALSE,FALSE,CBCAlerts oh good! because that's all that matters.
FALSE,FALSE,CBCAlerts CBCNews convenient of him
FALSE,FALSE,CBCAlerts LiberalCanuck Not sure what is going on?????
FALSE,FALSE,CBCAlerts oh good! Because that's all that really matters
FALSE,FALSE,CBCAlerts What about everyone else??
FALSE,FALSE,"CBCAlerts Spokesperson for PMO says Prime Minister Stephen Harper safe, has left Parliament Hill. #cdnpoliù"
FALSE,FALSE,CBCAlerts CBCNews
FALSE,FALSE,LiberalCanuck CBCAlerts OMG! No motive yet?  Hope all is well. I don't see it on our news yet. Is that you Klyle? How are you?
FALSE,FALSE,CBCAlerts That figures! He ramps up the rhetoric and then he is protected! Heave Steve!
FALSE,FALSE,CBCAlerts And the liberals and NDP don't want to get involved with stopping these crazy people.
FALSE,FALSE,CBCAlerts who gives a flying f*ck? How is the person that was shot? Huh? pmharper probably cowering under his desk. #cdnpoli
FALSE,FALSE,CBCAlerts Fire up the plane! Time to head to Toronto for another photo op with Malala! Heave Steve!
FALSE,FALSE,"CBCAlerts To the moron who thought Harper should of been shot instead, most be a liberals nut"
FALSE,FALSE,"CBCAlerts When you can, post a link to the story please?"
FALSE,FALSE,CBCAlerts CBCNews pussy
FALSE,FALSE,LiberalCanuck  Ther have not been + shots.  Don't put out false info.
FALSE,FALSE,"CBCAlerts CBCNews Yep, that's all that matters. WHO CARES."
FALSE,TRUE,#BREAKING PMO says PM Harper is safe and has left Parliament Hill
FALSE,FALSE,CTVNews Canada is Under Attack
FALSE,FALSE,.CTVNews can you please stop showing video of the dead soldier
FALSE,FALSE,"CTVNews We need Trudeau back,round all these mooslams up &amp ship back to desert,even the French followers.PS cut their thumbs off st."
FALSE,FALSE,CTVNews #BREAKING PMO says PM Harper is safe and has left Parliament Hillù
FALSE,FALSE,"dean CTVNews get use to it Dean with these politicans letting imans to practice terror,it will get worst.Time to tear down the mosques."
FALSE,FALSE,CTVNews Thank you Harper there is the first blood of our military on your hands. ARE YOU HAPPY?!
FALSE,FALSE,CTVNews CTVCalgary let's be worried about all ppl on parliament hill right now. NOT just the PM!!
FALSE,FALSE,RT CTVNews #BREAKING PMO says PM Harper is safe and has left Parliament Hill
FALSE,FALSE,"CTVNews heres an idea, stop leaving Parlement Hill open to just any Joe blow its called SECURITY people White house is garded why not here?"
FALSE,FALSE,"CTVNews Safe, that's too bad lol"
FALSE,FALSE,daryldavis CTVNews
FALSE,FALSE,CTVNews Put some SERiOUS show of force out at Parliament Hill and all CDN military installations.   Kick some ISIS and muslim ass!
