is_rumor,is_source_tweet,text
FALSE,FALSE,Conflict_Report What was the distress call? Did it squawk ?
FALSE,FALSE,betseykilayko Not afaik. But there are unconfirmed reports of the pilot reporting a problem. We will see.
FALSE,FALSE,"Conflict_Report with slowing speed, indicates engine failure.  Not much makes sense here, though."
FALSE,FALSE,betseykilayko Conflict_Report The Flightradar log shows no squawk.
FALSE,FALSE,"Conflict_Report Yep, v. odd. If you have major issue, why would you descend into mountains with no turn to Marseilles/coast?  Germanwings"
FALSE,TRUE,"Germanwings Airbus A climbed to , feet before starting to descend and lose signal http//t.co/xRUmICvz"
FALSE,FALSE,"TIME Germanwings Airbus A climbed to , feet before starting to descend and lose signal http//t.co/oTqFcGù"
FALSE,FALSE,"TIME Germanwings Airbus A climbed to , feet before starting to descend and lose signal http//t.co/LbFuGyRsù"
FALSE,FALSE,TIME Same scenario with AF RioParis ?
FALSE,FALSE,"TIME Germanwings Airbus A climbed to , feet before starting to descend and lose signal http//t.co/qUqhpXmWdù U"
FALSE,FALSE,merchezu TIME that was my thought too
FALSE,FALSE,The_DoD_ TIME  Can't describe my sadness ..flight  was already a shock .
FALSE,FALSE,TIME And who is to blame??? Russia??? I wouldn't be surprised if Psak say......
FALSE,TRUE,Crash of the Germanwings flight is extremely unfortunate. We share the sorrow &amp pain of the families of those on board.
FALSE,FALSE,narendramodi haaa.....it's so sad.....news....
FALSE,FALSE,narendramodi RIP
FALSE,FALSE,"narendramodi respected sir it is so nice of u that u r consoling the victims family's for the crash, but u forgot to console Ravi's family"
FALSE,FALSE,narendramodi I think D. K. Ravi was not so important as the victims of German flight
FALSE,FALSE,narendramodi very very sad ...
FALSE,FALSE,"narendramodi Life is just too short and so unfair at time my heart goes out to all the victim's, their families and friends.  germanwings"
FALSE,FALSE,Yudi_Banna narendramodi i don't agree. Smtime u need get in to get other out. We trust in our P M bcoz of his foresights
FALSE,FALSE,narendramodi really sad
FALSE,FALSE,narendramodi RIP
FALSE,FALSE,"PAWANVASHISHT  There is No Fairy Tale in Politics Mate,Wait For the Bihar Elections,The First Casualty Will Be Defeat of BJP in Bihar"
FALSE,FALSE,Yudi_Banna are u frm Bihar? Dear Coz modi ji is on mission India. When he is on Mission Bihar he 'll definitely do it.
FALSE,FALSE,decosunil narendramodi Bhai Sunil turn idar jakh mat mar. Teri party keep aadhe paid trollu save aap save aap jar rahe hey. Udhar help kar
FALSE,FALSE,decosunil narendramodi Just free advice. Leno he to le. Or else go to hell.
FALSE,FALSE,"dev_m_u u b in hell waiting for me. U won't get bored I m sure, u will get enough company thr.... Enjoy"
FALSE,FALSE,You just got  place into our prize lottery decosunil Go to our header link  claim
FALSE,FALSE,RewardMe really???? U come to me n give the prize
FALSE,FALSE,decosunil U r blocked Idiot
FALSE,TRUE,"Germanwings flight that crashed in French Alps had  passengers and  crew on board, airline's CEO says. http//t.co/EOKWFoIJ A"
FALSE,FALSE,"cnni Germanwings flight that crashed in French Alps had  passengers and  crew on board, airline's CEO says."
FALSE,FALSE,cnni https//t.co/sViljvm
FALSE,FALSE,cnni A
FALSE,FALSE,cnni my heart goes out to the families involved.. stay strong
FALSE,FALSE,cnni Germanwings flight that crashed in French Alps had  passengers and  crew on board http//t.co/NmmaxfWZj Aùèüôèüôè
FALSE,FALSE,cnni fpleitgenCNN So so Bad..
FALSE,FALSE,"cnni May the grace of God provide solace to those who lost loved ones, and for those who perished."
FALSE,FALSE,cnni Sincerest Sympathies from NYC to the families and friends of all whom have been lost. 
FALSE,FALSE,cnni
FALSE,FALSE,cnni
FALSE,FALSE,cnni they are in my prayers
FALSE,FALSE,cnnimy prayers are with the familiesvery sad
FALSE,FALSE,cnni very sad news
FALSE,TRUE,Photos show emergency services in French Alps after Germanwings crash  http//t.co/teojxJoBMX http//t.co/EAVYroXyz
FALSE,FALSE,BBCBreaking Can't see the plane à.
FALSE,FALSE,BBCBreaking Photos show emergency services in French Alps after Germanwings crash  http//t.co/YLxXoEbWE http//t.co/nxiXCkOSpù
FALSE,FALSE,BBCBreaking No plane?
